event_date,user_pseudo_id,item_name,session_id,session_engaged,engagement_time_seconds
20221126,1617173967.1669505610,,1669505609,1,26.681
20221126,998765088.1669496767,,1669496766,1,41.036
20221126,220902449.1669503305,,1669503305,0,
20221126,1703091881.1669506192,,1669506192,0,
20221126,118063573.1669512492,,1669512492,0,0.039
20221126,1995474854.1669500618,,1669500617,1,261.895
20221126,76427404.1669517516,,1669517516,1,20.928
20221126,776884586.1669517619,,1669517618,0,
20221126,302959981.1669522044,,1669522043,0,
20221126,1792664734.1669526932,,1669526932,1,21.454
20221126,637380307.1669454003,,1669454003,0,
20221126,457519183.1669488223,,1669488223,1,65.185
20221126,1811959468.1669496410,,1669496410,1,129.797
20221126,1895270321.1669496421,,1669496420,1,6.958
20221126,883799345.1669502527,,1669502527,1,27.757
20221126,406151607.1669497574,,1669497574,1,54.735
20221126,828358687.1669497731,,1669497730,1,15.643
20221126,618959705.1669522414,,1669522414,1,2.755
20221126,1373805721.1669524336,,1669524335,0,1.432
20221126,1030434149.1669524392,,1669524392,1,11.293
20221126,855538224.1669438165,,1669473880,0,
20221126,855538224.1669438165,,1669491353,1,3.847
20221126,611729872.1668006187,,1669451829,1,11.844
20221126,593915080.1668680045,,1669483944,0,
20221126,503941381.1666218190,,1669510492,0,
20221126,708661399.1660080672,,1669509502,1,45.859
20221126,708661399.1660080672,,1669513134,0,
20221126,503941381.1666218190,,1669513152,0,
20221126,708661399.1660080672,,1669506425,1,45.697
20221126,503941381.1666218190,,1669508530,0,2.828
20221126,503941381.1666218190,,1669522450,0,
20221126,295332092.1669429391,,1669467804,0,
20221126,295332092.1669429391,,1669507970,0,
20221126,365032134.1668849788,,1669477089,1,28.287
20221126,365032134.1668849788,,1669487453,0,
20221126,1482114222.1668180950,,1669479091,1,13.841
20221126,1337653568.1664521736,,1669492728,1,10.014
20221126,1337653568.1664521736,,1669505606,0,
20221126,883799345.1669502527,,1669523095,1,35.238
20221126,216372269.1652182140,,1669492521,1,130.573
20221126,216372269.1652182140,,1669496824,0,
20221126,267314288.1668564232,,1669491900,0,
20221126,267314288.1668564232,,1669510494,0,2.755
20221126,820633351.1669426690,,1669508928,1,4.775
20221126,1428769388.1669249569,,1669504244,1,28.148
20221126,1428769388.1669249569,,1669502106,1,78.78
20221125,816561507.1669380998,,1669380998,0,
20221125,1404553790.1669382400,,1669382400,0,
